 12332| 39.704162| 21.961445| 5.45|  346.8|G|Ari
 12387| 39.870618|  0.328517| 4.08|  652.0|A|Cet
 12390| 39.890549|-11.871582| 4.83|   88.1|K|Cet
 12394| 39.896765|-68.266948| 4.12|  153.1|G|Hyi
 12413| 39.949664|-42.891633| 4.74|  129.9|G|Eri
 12484| 40.164916|-54.549924| 5.21|  159.0|A|Hor
 12486| 40.166382|-39.855309| 4.11|  145.5|A|Eri
 12489| 40.170972| 27.061009| 5.30|  232.9|A|Ari
 12530| 40.307795| -0.695348| 5.72|   70.6|K|Cet
 12623| 40.562204| 40.194387| 4.91|   80.5|B|Per
 12640| 40.591344| 20.011577| 5.74|  339.6|A|Ari
 12653| 40.638160|-50.800827| 5.40|   56.2|M|Hor
 12692| 40.761678| 55.106071| 5.76|  417.9|F|Per
 12706| 40.825519|  3.236172| 3.47|   81.9|K|Cet
 12719| 40.862960| 27.707171| 4.65|  370.5|F|Ari
 12768| 41.021492| 44.297055| 5.43|  693.6|A|Per
 12770| 41.030644|-13.858676| 4.24|  440.5|G|Cet
 12777| 41.048700| 49.228666| 4.10|   36.6|F|Per
 12803| 41.137380| 15.311900| 5.78|  479.4|A|Ari
 12828| 41.234889| 10.114220| 4.27|   84.2|G|Cet
 12832| 41.239614| 12.445967| 5.17|  124.9|B|Ari
 12843| 41.274923|-18.572651| 4.47|   45.5|F|Eri
 12871| 41.364386|-63.704532| 5.73|  179.1|K|Hor
 12876| 41.385552|-67.616724| 4.83|  293.7|A|Hyi
 13061| 41.976839| 29.247424| 4.52|  180.1|K|Ari
 13108| 42.133596| 18.283870| 5.83|  501.5|B|Ari
 13141| 42.255696|-62.806592| 5.25|  165.5|K|Hor
 13147| 42.272331|-32.406284| 4.45|  168.9|A|For
 13165| 42.323157| 17.464344| 5.26|  603.7|B|Ari
 13202| 42.475630|-27.942035| 5.39|  552.5|G|For
 13209| 42.495789| 27.260790| 3.61|  159.8|A|Ari
 13225| 42.561445|-35.843686| 5.92|  501.5|F|For
 13244| 42.618904|-75.066881| 4.76|  329.3|K|Hyi
 13254| 42.645476| 38.318908| 4.22|  127.8|G|Per
 13265| 42.668350|-35.675717| 5.48|  534.4|F|For
 13268| 42.674137| 55.895530| 3.77| 1304.0|F|Per
 13288| 42.759775|-21.003979| 4.76|  182.1|K|Eri
 13327| 42.873200| 15.082127| 5.52|  479.4|G|Ari
 13328| 42.878462| 35.059894| 4.56|  407.5|K|Per
 13473| 43.393138|-38.437087| 5.93|  194.0|K|For
 13490| 43.427409| 38.337679| 5.34|  234.5|B|Per
 13531| 43.564427| 52.762490| 3.93|  247.0|K|Per
 13654| 43.952095| 18.331676| 5.76|  402.5|M|Ari
 13701| 44.106682| -8.897610| 3.89|  133.1|G|Eri
 13702| 44.108260| 18.023651| 5.58|  115.6|M|Ari
 13775| 44.322002| 31.934294| 5.10|  388.1|K|Per
 13782| 44.348755|-23.862077| 5.44|  159.0|G|Eri
 13834| 44.521147| 20.668810| 5.80|  103.8|K|Ari
 13835| 44.523700|-23.606138| 5.82|  652.0|F|Eri
 13847| 44.565482|-40.304735| 2.88|  161.4|F|Eri
 13879| 44.690210| 39.662827| 4.68|  326.0|G|Per
 13884| 44.699025|-64.071297| 4.98|  313.5|A|Hor
 13905| 44.765457| 35.183114| 4.94|  350.5|K|Per
 13914| 44.803058| 21.340445| 4.63|  291.1|G|Ari
 13942| 44.900273|-25.274339| 5.69|  105.5|G|For
 13951| 44.921510| -2.464901| 5.56|  332.7|F|Eri
 13954| 44.928735|  8.907401| 4.71|  423.4|A|Cet
 14060| 45.291527| -7.662836| 5.75|  304.7|B|Eri
 14086| 45.406043|-28.090482| 5.88|   99.1|A|For
 14109| 45.475627| 26.462342| 5.91|  214.5|F|Ari
 14131| 45.564156|-71.902495| 5.51|  525.8|F|Hyi
 14135| 45.569913|  4.089925| 2.54|  220.3|K|Cet
 14143| 45.593784|  4.352870| 5.62|  446.6|A|Cet
 14146| 45.598305|-23.624336| 4.08|   86.0|F|Eri
 14168| 45.676080| -7.685463| 5.32|  256.7|G|Eri
